Name , Capacity ,Full Facility Address (one line),City,County,Zip Code,Website,
Alameda County Santa Rita Jail," 3,489 ","5325 Broder Blvd, Dublin, California, 94568-3309",Dublin,Alameda,94568,https://www.acgov.org/sheriff_app/,
Amador County Jail, 76 ,"700 Court St, Jackson, California, 95642-2130",Jackson,Almador,95642,https://acsd.crimegraphics.com/2013/default.aspx,sent
Butte County Jail, 614 ,"7 Gillick Way, Oroville, California, 95965-3595",Oroville,Butte,95965,https://vinelink.vineapps.com/search/CA,already provided
Colusa County Jail, 92 ,"929 Bridge St, Colusa, California, 95932-2837",Colusa,Colusa,95932,https://vinelink.vineapps.com/search/CA,already provided
Community Corrections Office - Sacramento ,,"400, Sacramento, California, 95814-7307",Sacramento,Sacramento,95814,https://www.sacsheriff.com/inmate_information/SearchByXref.aspx,cannot access
Contra Costa County Jail," 1,500 ","901 Court St, Martinez, California, 94553-1700",Martinez,Contra Costa,94553,http://63.192.159.75/PublicReport/Web/InCustodyLocator,cannot access
"Contra Costa County Marsh Creek Detention Facility - Clayton, CA", 188 ,"12000 Marsh Creek Rd, Clayton, California, 94517-9760",Clayton,Contra Costa,94517,http://63.192.159.75/PublicReport/Web/InCustodyLocator,cannot access
"Contra Costa County West Detention Facility - Richmond, CA"," 1,096 ","5555 Giant Hwy, Richmond, California, 94806-6002",Richmond,Contra Costa,94806,http://63.192.159.75/PublicReport/Web/InCustodyLocator,cannot access
Del Norte County Jail, 142 ,"5th St, Crescent City, California, 95531-3998",Crescent City,Del Norte,95531,https://ois.dnco.org/Default,sent
El Dorado County Jail - Lake Tahoe, 158 ,"1051 Al Tahoe Blvd, South Lake Tahoe, California, 96151 - 4525",South Lake Tahoe,El Dorado,96151,http://custody.edso.org/inCustody.php,sent
El Dorado County Jail - Placerville, 265 ,"300 Forni Rd, Placerville, California, 95667 - 5456",Placerville,El Dorado,95667,http://custody.edso.org/inCustody.php,duplicate
Glenn County Adult Detention Facility, 144 ,"141 S Lassen St, Willows, California, 95988-3008",Willows,Glenn,95988,https://www.countyofglenn.net/dept/sheriff/jail/arrest-reports,pdf download
Humboldt County Jail, 417 ,"4th St, Eureka, California, 95501-0515",Eureka,Humboldt,95501,https://vinelink.vineapps.com/search/CA,vinelink
Lassen County Adult Detention Facility, 156 ,"1405 Sheriff Cady Ln, Susanville, California, 96130-3782",Susanville,Lassen,96130,https://vinelink.vineapps.com/search/CA,vinelink
Maguire Correctional Facility (San Mateo County)," 1,000 ","300 Bradford Street, Redwood City, California, 94063",Redwood City,San Mateo,94063,https://smc-inmatelocator.org,
Marin County Jail, 293 ,"13 Peter Behr Dr, San Rafael, California, 94903-5299",San Rafael,Marin,94903,https://apps.marincounty.org/BookingLog,
Mendocino County Jail, 301 ,"951 Low Gap Rd, Ukiah, California, 95482-3736",Ukiah,Mendocino,95482,https://www.mendocinocounty.org/government/inmate-locator,
Modoc County Jail, 48 ,"102 S Court St, Alturas, California, 96101",Alturas,Modoc,96101,https://vinelink.vineapps.com/search/CA,
Monroe Detention Center  - Yolo County, 455 ,"140 A Tony Diaz Dr, Woodland, California, 95776",Woodland,Yolo,95776,https://vinelink.vineapps.com/search/CA,
Napa County Jail, 264 ,"3rd St, Napa, California, 94559-3001",Napa,Napa,94559,https://services.countyofnapa.org/CJNetWeb/Public/InCustodyReport,
Placer County Jail, 216 ,"2775 Richardson Dr, Auburn, California, 95603-2735",Auburn,Placer,95603,http://ftpincustody.placersheriff.org/InCustody.pdf,
